,SEM-I,SEM-II,SEM-III,SEM-IV,SEM-V,SEM-VI,SEM-VII,SEM-VIII
1053,9.67,9.80,9.61,10.00,10.00,9.87,8.36,9.38
1054,7.61,8.90,9.96,10.00,9.83,8.09,7.09,6.9
1055,7.61,8.75,9.35,9.75,9.57,7.61,6.73,7.67
1056,9.00,9.10,10.00,10.00,9.57,9.96,8.41,9.67
1057,8.94,9.90,10.00,10.00,9.78,9.39,7.73,9.14
1058,9.39,9.95,10.00,10.00,9.96,8.96,8.91,9.43
1059,10.00,10.00,10.00,10.00,9.74,8.83,8.73,8.71
1060,7.28,8.03,9.91,10.00,9.87,8.13,8.50,8.71
1061,8.03,9.55,9.70,10.00,9.87,9.70,8.05,9.57
1062,7.44,8.40,9.87,10.00,9.70,7.26,7.05,8.19
1063,7.78,9.25,9.96,10.00,9.61,8.57,7.77,8.1
1064,8.44,8.65,9.39,9.79,9.43,8.96,9.09,9.43
1066,7.92,8.80,9.09,9.92,9.48,8.13,7.68,8.24
1067,7.86,7.53,9.57,9.33,9.09,7.65,6.55,6.52
1068,7.50,8.63,9.87,9.83,9.22,9.09,7.09,8.52
1069,7.86,8.10,9.52,9.63,9.04,7.30,6.36,7.81
1070,7.19,8.18,9.61,9.63,9.39,7.48,6.68,6.95
1071,9.17,9.65,9.26,9.42,9.74,9.26,7.27,7.76
1072,9.06,10.00,9.48,9.00,9.30,9.35,7.82,9.0
1073,9.06,9.40,10.00,10.00,9.87,9.22,8.32,8.86
1074,7.86,9.15,9.22,9.38,9.87,8.30,6.59,7.95
1075,9.22,9.70,9.48,10.00,9.87,10.00,9.05,9.0
1076,7.44,8.28,9.87,9.92,9.04,7.74,6.55,8.43
1077,7.08,8.28,9.70,10.00,9.78,8.39,8.05,8.57
1078,8.11,7.90,9.87,9.83,9.83,8.83,7.86,8.43
1079,8.83,9.13,9.61,10.00,9.52,10.00,9.05,9.57
1080,6.92,8.05,9.78,9.92,9.65,6.91,7.50,7.81
1081,8.89,9.70,9.00,8.50,9.61,9.17,8.23,9.71
1082,8.83,8.18,9.35,8.96,8.78,8.43,7.91,8.86
1083,7.33,8.30,9.39,8.96,9.13,7.61,7.23,7.76
1084,8.78,9.90,10.00,9.88,9.65,8.17,7.36,7.76
1085,8.94,9.68,9.48,9.33,9.61,8.57,8.64,8.71
1086,7.69,8.40,10.00,10.00,9.74,9.39,7.86,8.81
1087,8.78,10.00,9.87,10.00,9.74,9.61,8.77,8.52
1088,8.44,9.18,10.00,10.00,10.00,9.70,9.55,9.1
1089,7.25,8.50,9.30,10.00,9.78,9.00,7.59,8.95
1090,9.11,9.55,10.00,10.00,10.00,9.74,9.36,9.14
1091,7.56,8.95,9.70,9.00,9.74,8.04,7.14,8.43
1093,9.72,9.73,10.00,10.00,10.00,9.74,8.68,9.14
1094,7.14,7.38,8.48,9.33,9.48,7.91,8.77,9.0
1095,9.50,9.90,9.96,10.00,9.74,10.00,7.95,8.43
1096,8.67,9.60,9.78,10.00,9.87,9.74,7.86,8.29
1097,9.06,10.00,9.22,10.00,10.00,8.57,8.59,9.57
1098,9.83,10.00,9.87,9.63,9.00,8.83,7.41,8.86
1099,9.33,10.00,10.00,10.00,9.74,9.48,8.00,9.0
1100,7.31,9.20,9.78,9.79,9.91,8.96,8.50,8.67
1101,8.17,9.60,9.96,10.00,9.87,9.87,8.36,8.52
1102,7.33,7.83,9.61,9.29,9.09,7.17,7.14,8.14
1103,10.00,9.60,9.83,9.79,9.83,9.61,7.59,8.71
1104,7.72,7.75,9.74,9.75,9.61,9.13,8.09,8.71
1105,6.58,9.20,9.96,10.00,9.87,8.61,7.95,7.76
1107,6.22,7.10,9.70,9.63,9.61,8.09,8.09,9.14
1108,8.03,7.93,9.65,9.58,9.48,7.35,7.64,8.0
1109,9.61,8.15,9.78,9.96,9.00,7.13,6.73,8.43
1111,8.06,8.40,9.57,9.92,9.78,7.57,8.23,9.29
1112,7.44,8.90,9.57,9.67,9.87,8.04,8.09,8.86
1113,9.00,10.00,9.96,9.96,9.78,8.52,9.05,9.71
1114,7.94,9.65,9.87,10.00,9.87,7.83,7.68,8.1
1115,7.28,8.25,9.78,10.00,9.96,8.09,7.68,9.14
1116,8.28,8.60,9.74,9.88,9.78,7.17,6.55,7.48
1117,8.89,9.65,9.48,9.75,9.52,7.39,7.82,8.57
1118,7.28,8.10,9.13,9.63,9.61,7.04,6.91,7.9
1119,7.78,7.75,9.70,9.83,9.78,8.30,8.36,9.14
1120,6.89,9.00,9.70,10.00,9.78,8.09,7.27,8.57
1121,8.11,8.10,9.61,9.83,9.65,7.65,6.45,7.29
1122,6.33,7.05,9.74,9.96,9.39,8.39,7.59,8.43
1123,8.22,9.75,9.87,9.83,9.78,8.22,8.64,8.57
1124,7.06,9.50,9.39,9.42,9.43,8.30,7.82,9.43
1125,8.50,8.25,9.43,9.71,9.65,7.48,7.27,8.29
1126,8.56,9.90,10.00,10.00,9.74,8.22,7.68,8.0
1127,9.28,8.70,9.91,9.83,9.83,8.43,8.50,9.29
1128,7.67,8.90,9.57,9.88,9.52,7.17,6.73,8.14
1129,8.00,9.45,9.83,9.96,9.78,8.96,8.91,9.29
1130,8.50,9.15,9.30,9.75,9.65,8.22,8.09,8.86
1131,9.00,9.90,9.52,10.00,9.30,7.78,7.82,8.86
1132,7.83,8.85,9.78,9.79,9.78,7.70,7.95,8.57
1133,7.22,8.00,9.83,9.92,9.87,7.70,7.95,8.81
1134,6.28,6.43,9.22,9.33,9.00,6.17,6.55,7.52
1135,7.89,9.30,9.70,9.96,9.78,8.30,8.50,8.57
1136,7.33,9.25,9.96,10.00,9.74,7.78,7.27,7.81
1137,7.89,8.60,8.83,9.75,9.65,7.61,7.68,9.0
1138,7.56,9.10,9.26,9.71,9.78,7.65,7.55,8.14
1139,8.06,9.60,10.00,10.00,10.00,8.96,8.23,9.71
1141,8.44,9.60,9.74,10.00,9.78,8.65,8.36,8.57
1143,5.89,7.25,9.26,9.96,9.78,7.13,7.00,7.95
1144,8.83,9.15,9.35,9.96,9.61,7.39,7.41,8.43
1145,7.72,9.20,8.83,9.21,9.35,6.74,6.32,7.48
1146,6.89,9.10,9.13,9.92,9.78,7.91,8.36,8.86
1147,6.94,8.23,8.96,9.83,9.83,8.22,8.50,9.43
1149,7.72,9.35,9.65,9.88,9.96,8.70,9.05,9.71
1150,9.17,10.00,9.13,9.96,9.74,8.39,7.68,8.29
1151,8.22,9.30,9.30,9.83,9.78,7.52,6.55,7.76
1152,8.94,9.95,9.96,10.00,10.00,8.30,8.91,9.29
1154,6.11,7.75,9.70,9.96,9.74,7.70,7.23,8.71
1155,7.11,8.05,9.57,10.00,9.65,7.91,7.27,8.24
1156,5.69,6.58,9.43,9.83,9.13,8.17,7.68,8.43
1157,7.94,9.65,9.52,9.75,9.96,8.30,8.23,8.57
1158,7.50,8.05,9.83,9.96,9.65,7.78,7.82,8.71
1159,7.39,7.60,8.65,9.04,9.26,7.26,7.00,7.95
1161,6.94,6.60,8.57,10.00,9.70,8.13,7.55,8.24
1162,8.28,8.45,8.57,9.25,8.70,7.17,6.86,7.57
1164,6.08,7.28,9.87,10.00,10.00,8.87,7.95,8.95
1165,6.28,7.20,9.74,10.00,9.87,7.57,7.55,9.29
1166,8.00,8.80,9.30,9.83,9.65,7.91,6.86,7.86
1167,7.47,8.65,9.26,9.75,9.30,8.17,7.41,7.9
1168,7.50,7.65,9.52,9.79,9.87,7.30,7.36,8.67
1169,6.17,7.00,9.26,9.83,9.57,7.09,6.55,7.81
1170,9.22,9.90,9.52,10.00,9.70,8.48,9.05,9.0
1172,7.78,8.80,9.65,9.50,9.78,8.43,8.50,8.57
1173,8.36,7.53,9.26,9.88,8.70,7.96,7.14,8.05
1174,8.56,9.90,9.57,9.83,9.53,7.57,8.36,9.29
1175,5.89,6.63,9.09,9.71,9.61,6.48,6.82,7.33
1176,5.44,7.55,9.83,10.00,9.78,7.65,7.68,8.29
1177,9.50,9.00,9.83,10.00,9.87,7.52,7.55,9.57
1178,7.06,8.65,9.74,10.00,9.39,7.13,6.59,7.57
1179,7.50,9.25,9.87,10.00,9.91,8.00,7.95,8.0
1180,9.17,10.00,9.87,9.83,10.00,8.70,8.91,9.29
1181,7.33,9.20,9.78,9.96,9.87,8.17,8.09,8.29
1182,5.94,7.10,9.78,9.96,9.65,7.30,7.18,8.24
1183,6.75,7.58,8.91,9.93,9.78,7.65,7.09,8.05
1184,5.72,7.00,9.74,9.38,9.78,7.91,8.09,8.71
1185,6.97,8.68,9.57,9.85,9.61,7.78,7.55,8.19
1186,8.56,9.45,9.83,9.92,9.91,8.35,8.64,9.29
1187,6.22,7.45,9.00,9.71,9.65,7.09,7.55,8.14
1189,8.83,10.00,8.39,9.25,8.96,8.17,8.77,9.29
1190,7.39,8.20,8.65,9.71,9.65,7.96,7.82,9.57
1191,7.94,7.15,9.26,9.83,9.74,6.83,6.73,7.67
1192,7.19,7.48,9.61,9.71,9.61,6.91,6.91,8.19
1193,8.53,7.48,9.65,9.67,9.87,7.30,8.36,9.0
1194,5.81,7.35,9.43,9.67,9.35,6.96,7.09,7.43
1195,7.44,9.10,9.39,9.96,9.87,8.74,8.36,9.14
1196,8.06,8.00,9.30,9.83,9.78,7.00,7.95,8.57
1197,8.78,9.60,9.22,9.71,9.13,7.96,7.95,8.57
1199,9.17,9.75,9.74,9.96,9.87,8.22,7.55,8.71
1200,8.56,9.10,9.74,9.96,10.00,7.83,7.55,8.29
1201,7.28,9.35,8.65,9.88,9.78,8.17,8.36,9.29
1202,7.50,7.20,8.00,8.83,8.22,5.61,6.59,7.62
1204,7.39,9.25,9.83,10.00,9.83,7.22,7.14,9.14
1205,6.72,8.40,9.83,9.96,9.83,7.74,7.95,8.67
1206,6.11,7.40,9.70,9.83,9.78,7.13,6.77,7.81
1207,6.03,7.43,9.57,9.58,9.65,7.48,6.91,8.38
1208,7.39,8.30,9.83,9.96,9.78,8.17,7.68,8.57
1209,6.33,7.60,9.78,9.83,9.39,7.35,7.55,7.76
1210,8.11,8.10,8.87,8.83,8.22,7.78,7.41,8.71
1211,8.22,9.50,6.96,9.83,9.87,8.22,8.09,8.29
1212,8.67,9.50,9.96,9.96,10.00,8.83,8.09,9.14
1213,7.94,8.80,9.87,9.63,9.83,8.43,7.68,8.71
1215,5.39,6.85,9.78,9.75,9.61,8.09,8.09,9.43
1216,8.33,8.40,9.74,9.93,9.91,8.43,8.50,8.29
1217,8.67,8.10,9.17,9.88,9.61,7.26,7.23,7.62
1218,7.94,8.10,9.52,9.71,9.83,7.61,7.41,7.24
1219,7.81,6.98,9.78,9.96,9.78,8.17,8.73,9.57
1220,5.25,7.45,9.35,9.04,9.30,8.00,7.82,8.52
1221,6.42,7.43,8.96,9.17,9.30,7.65,7.00,7.24
1222,6.36,7.13,9.39,9.46,9.30,7.22,7.05,8.62
1223,7.78,9.20,8.78,9.38,8.35,8.30,8.09,9.0
1225,7.89,8.70,9.61,9.71,9.87,8.22,7.55,8.57
1226,6.61,8.10,8.87,9.83,9.74,8.30,7.82,7.29
1227,6.39,8.20,9.43,9.83,9.83,8.48,8.36,9.71
1228,6.42,7.58,9.35,9.63,9.22,7.35,6.55,7.95
1229,6.22,6.45,9.30,9.96,9.74,8.65,7.95,8.95
1230,6.50,8.18,9.61,9.21,9.57,8.39,8.45,9.71
1231,8.22,8.45,10.00,10.00,9.74,9.04,8.36,9.0
1232,7.78,8.05,9.91,9.92,9.35,8.22,8.27,8.24
1233,7.94,9.88,10.00,9.92,9.78,8.70,8.18,8.62
1234,8.69,9.60,9.83,9.83,9.52,8.39,7.55,9.19
1235,5.92,7.38,9.83,9.71,9.43,7.83,7.23,7.62
1236,9.78,10.00,10.00,9.88,9.87,9.87,9.05,9.86
1237,9.19,9.80,9.83,10.00,9.70,9.57,8.68,8.67
1238,7.86,9.20,10.00,10.00,9.78,8.96,9.05,9.67
1239,6.86,8.60,9.91,9.92,9.61,8.17,8.14,8.48
1240,10.00,10.00,10.00,10.00,9.61,9.35,8.50,0.0
1241,9.06,9.70,10.00,9.88,9.57,8.65,8.64,8.95
1242,8.61,9.80,10.00,10.00,9.74,8.70,8.36,9.14
1243,8.08,10.00,10.00,10.00,9.57,8.83,8.50,9.29
1244,6.31,6.95,9.48,9.92,9.39,7.65,7.09,7.76
1245,7.22,7.80,9.83,9.83,9.22,8.30,7.50,8.24
1246,7.50,8.25,9.57,9.75,9.52,8.96,9.14,8.9
1247,7.00,7.30,10.00,9.83,9.48,8.00,7.41,8.57
1248,8.75,9.63,10.00,9.88,9.52,8.00,7.32,8.33
1249,8.58,9.30,9.83,9.92,9.74,9.43,9.32,9.57
1250,8.44,9.55,9.74,10.00,9.65,9.74,8.64,9.71
1251,9.86,9.90,10.00,10.00,9.83,10.00,9.55,9.71
1252,7.89,9.15,10.00,9.96,9.83,9.61,9.14,9.43
1253,5.67,7.80,9.83,9.88,9.26,9.35,8.36,8.62
1254,7.50,8.48,10.00,10.00,9.13,7.26,6.36,7.95
1255,7.11,8.38,10.00,9.88,9.65,8.09,9.00,9.67
1256,9.00,9.85,10.00,10.00,9.61,8.52,8.91,9.29
1257,5.72,7.18,9.74,9.33,8.91,7.26,7.23,7.62
1258,7.89,9.30,9.74,10.00,9.78,9.00,9.09,9.57
1259,9.44,10.00,10.00,10.00,9.87,9.87,8.86,9.57
1260,8.11,8.65,10.00,9.92,9.17,8.61,9.32,8.1
1261,8.78,9.55,9.74,9.54,9.48,7.70,7.09,8.05
1262,8.33,9.60,9.87,9.88,9.83,9.83,9.14,9.14
1263,7.36,8.08,9.09,9.79,9.13,8.39,8.45,8.43
1264,7.25,8.00,10.00,9.75,9.30,8.09,8.73,8.62
1265,9.69,10.00,10.00,9.88,9.70,9.09,8.45,9.29
1266,7.39,8.70,9.70,9.88,9.65,7.96,8.50,8.67
1267,9.06,9.08,9.87,10.00,9.78,8.96,8.91,9.43
1268,6.89,9.05,9.83,9.63,9.57,8.65,8.82,8.67
1269,9.56,10.00,10.00,9.96,9.74,8.96,8.50,9.14
1270,8.89,9.90,10.00,9.96,9.87,8.83,9.05,9.43
1271,5.44,6.80,8.74,9.17,8.91,7.13,6.59,7.57
1272,7.72,8.35,9.00,9.33,8.96,6.35,6.36,7.52
1273,6.31,8.50,10.00,9.88,9.70,9.70,9.45,9.67
1274,9.39,9.85,10.00,10.00,9.87,9.61,8.77,9.57
1275,7.14,8.28,9.43,9.75,9.87,9.22,8.14,8.71
1276,8.39,9.48,10.00,10.00,9.61,8.48,8.27,8.57
1277,7.58,9.03,9.96,9.96,9.52,8.52,7.59,9.0
1278,8.31,9.90,9.35,9.96,9.78,8.61,7.68,8.43
1279,8.06,9.85,8.78,9.75,9.35,8.52,8.41,8.05
1280,8.44,9.75,10.00,10.00,9.74,9.87,9.59,9.86
1281,7.44,8.25,10.00,9.88,9.87,8.17,8.36,9.29
1282,8.64,7.53,9.70,10.00,10.00,7.30,7.18,7.95
1283,6.81,6.93,9.57,9.88,9.57,6.83,6.41,8.24
1284,7.42,8.48,9.83,9.67,9.61,8.65,8.09,9.0
1285,5.61,6.53,9.57,9.83,9.22,7.43,7.18,7.76
1286,8.86,9.13,9.48,10.00,9.87,9.35,8.77,9.57
1287,9.06,10.00,9.96,10.00,10.00,9.48,9.32,0.0
1288,9.78,9.70,10.00,10.00,9.74,9.35,8.23,8.71
1289,7.22,8.40,10.00,10.00,10.00,9.22,9.86,9.86
1290,9.61,9.75,10.00,10.00,10.00,9.61,9.23,9.71
1291,8.33,9.60,10.00,10.00,9.96,9.13,8.50,9.71
1292,9.19,9.70,10.00,10.00,10.00,8.78,9.00,9.29
1293,8.86,8.78,10.00,10.00,9.57,8.57,9.05,9.86
1294,7.56,8.95,10.00,10.00,9.74,8.09,7.95,9.43
1295,9.19,9.88,10.00,10.00,9.87,10.00,8.77,0.0
1296,7.42,7.95,9.96,9.96,9.78,8.26,8.09,8.95
1297,8.08,9.35,10.00,10.00,9.78,9.48,9.59,8.95
1298,9.33,9.50,10.00,10.00,9.87,9.61,9.05,9.43
1299,8.86,9.05,10.00,10.00,9.87,9.35,9.32,9.29
1300,7.25,8.13,9.87,9.88,9.04,7.57,7.68,8.1
1301,6.19,7.45,10.00,10.00,9.61,8.09,8.14,7.86
1302,7.86,8.70,10.00,10.00,9.61,9.09,9.41,9.14
1303,6.69,7.18,10.00,10.00,9.39,8.26,8.23,8.29
1304,8.42,9.15,10.00,10.00,9.83,9.30,8.77,9.0
1305,7.94,8.75,10.00,10.00,10.00,9.61,9.14,9.43
1306,9.67,10.00,10.00,10.00,9.87,10.00,9.32,9.86
1307,6.94,8.55,10.00,10.00,9.57,8.70,9.32,9.43
1308,8.56,9.90,10.00,9.96,9.70,9.43,9.73,0.0
1309,9.22,9.90,10.00,10.00,9.87,9.48,9.59,9.57
1310,7.72,9.70,10.00,10.00,9.61,8.83,8.73,9.14
1311,8.31,9.10,10.00,10.00,9.87,8.70,7.95,8.29
1312,8.11,9.10,9.87,9.79,9.43,9.52,8.27,8.57
1313,7.53,8.10,10.00,10.00,9.65,8.43,8.36,9.29
1314,9.33,10.00,10.00,10.00,10.00,9.87,8.77,9.29
1315,9.50,9.70,9.74,9.83,9.61,8.70,8.05,9.43
1316,7.17,8.50,9.22,9.96,9.30,8.43,7.82,8.67
1317,7.83,9.35,10.00,10.00,9.61,9.48,7.86,8.62
1318,8.78,8.73,10.00,10.00,10.00,9.61,9.23,9.43
1319,9.86,9.80,10.00,10.00,9.74,9.74,9.32,9.81
1320,9.50,10.00,10.00,9.96,9.87,10.00,9.41,9.71
1321,7.72,8.15,10.00,10.00,9.74,8.43,8.23,8.62
1322,7.61,7.33,8.70,9.25,8.74,6.78,6.50,7.43
1323,6.94,8.33,9.96,10.00,9.74,9.74,8.45,9.71
1324,7.28,9.00,10.00,9.96,9.74,8.04,7.77,8.62
1325,6.75,8.38,10.00,10.00,10.00,7.65,7.45,8.33
1326,8.14,9.43,10.00,9.88,9.87,8.26,8.55,8.95
1327,7.36,8.60,10.00,10.00,9.87,9.48,9.45,9.86
1328,8.61,9.50,9.87,10.00,10.00,8.96,8.91,8.71
1329,8.81,9.53,10.00,10.00,9.13,8.39,7.91,8.38
1330,9.81,10.00,10.00,10.00,9.87,9.57,9.32,9.81
1331,8.94,10.00,10.00,10.00,9.87,9.48,9.05,9.48
1332,6.19,7.53,10.00,9.88,9.87,8.61,8.64,9.1
1333,9.19,9.08,9.48,9.67,9.13,8.13,7.68,8.38
1334,6.22,7.53,10.00,10.00,10.00,9.22,9.86,9.43
1335,8.47,9.75,8.70,9.83,8.87,8.00,7.18,8.29
1336,7.17,7.75,9.35,9.71,9.83,9.35,8.18,9.29
1337,8.25,8.53,9.91,9.88,10.00,8.52,8.23,9.14
1338,7.22,8.68,10.00,10.00,9.87,8.39,8.09,8.86
1339,8.67,8.90,10.00,10.00,9.65,9.70,9.73,9.38
1340,9.19,9.45,9.48,9.96,9.74,8.35,7.32,8.29
1341,8.47,9.75,10.00,10.00,9.74,8.83,7.95,8.71
1342,7.58,8.73,9.35,10.00,9.91,8.52,8.05,9.52
1343,7.17,8.38,9.74,9.75,9.57,8.00,8.36,8.38
1344,7.69,8.80,9.26,9.63,9.61,7.91,8.27,8.86
1345,7.53,8.13,9.70,10.00,9.78,6.78,6.32,7.9
1346,8.14,8.85,8.91,9.88,9.43,8.83,8.77,9.57
1347,8.31,9.60,10.00,9.79,9.78,8.91,8.18,8.33
1348,8.50,9.00,9.61,9.50,9.00,9.26,7.18,8.24
1349,7.53,7.90,9.91,10.00,10.00,9.09,9.50,9.57
1350,7.64,8.50,9.74,10.00,9.48,8.09,7.27,7.43
1351,5.72,7.88,10.00,10.00,9.87,8.83,9.32,9.14
1352,9.69,9.58,10.00,10.00,10.00,9.57,8.95,9.43
1353,6.31,8.58,10.00,10.00,9.83,8.04,7.64,8.95
1354,6.36,7.90,10.00,10.00,9.87,9.30,8.50,9.52
1355,7.97,8.43,9.96,10.00,9.78,9.35,8.18,9.57
1356,7.11,7.23,9.87,9.67,9.13,7.70,6.64,7.48
1357,6.64,7.00,9.35,9.08,9.57,7.70,6.86,7.48
1358,8.39,7.73,9.48,8.46,8.65,7.39,7.68,8.43
1359,7.28,7.88,10.00,10.00,9.96,9.22,8.50,9.14
1360,6.42,7.68,9.91,9.79,9.96,7.74,6.95,7.38
1361,6.69,6.58,9.87,9.21,9.48,7.70,7.41,8.43
1362,7.00,7.28,9.91,9.96,9.87,8.74,9.05,9.52
1363,8.33,8.98,10.00,10.00,9.83,9.35,9.23,9.24
1364,7.67,7.73,9.91,9.96,9.83,8.91,8.77,9.95
1365,6.19,6.33,7.87,9.71,9.35,7.61,6.45,6.76
1366,9.00,9.70,10.00,9.71,10.00,8.83,8.36,8.86
1367,10.00,10.00,10.00,10.00,10.00,9.74,9.45,8.71
1368,8.47,9.25,9.87,9.79,8.91,8.70,7.73,8.57
1369,7.42,8.93,10.00,9.92,9.83,8.30,7.82,8.57
1370,7.03,8.23,10.00,9.96,9.70,8.78,8.41,8.81
1371,8.42,8.60,9.91,9.67,9.13,7.96,7.05,8.24
1372,8.44,8.70,9.87,10.00,9.78,8.35,8.32,9.38
1373,9.53,9.25,9.74,9.71,9.65,8.39,7.32,8.86
1374,7.06,7.03,9.74,9.83,9.87,8.57,7.91,8.76
1375,7.06,7.95,9.91,9.75,9.39,8.48,7.95,8.24
1376,7.67,9.25,9.87,9.79,10.00,8.91,7.77,9.52
1377,7.47,7.03,9.22,9.13,9.70,7.52,8.00,8.38
1379,8.92,9.93,10.00,9.96,9.74,9.35,8.41,8.29
1380,9.39,9.90,10.00,9.88,9.48,9.87,9.45,8.86
1381,6.75,7.45,10.00,9.67,9.70,8.48,8.18,8.48
1382,9.83,9.88,9.74,10.00,9.74,8.70,8.50,9.71
1383,7.31,9.45,10.00,10.00,9.48,9.52,9.14,9.14
1384,9.17,9.13,9.87,10.00,10.00,9.09,8.09,8.57
1387,9.39,9.58,10.00,10.00,9.74,9.74,8.91,8.71
1388,8.06,9.05,9.61,9.92,9.57,7.48,7.09,8.57
1389,7.86,8.53,9.04,9.88,9.74,9.00,8.50,9.38
1390,8.78,9.53,10.00,10.00,9.83,9.35,8.64,9.14
1391,8.78,8.65,9.87,9.88,9.74,8.70,7.82,8.0
1392,9.56,9.75,10.00,10.00,9.78,9.09,8.91,8.57
1393,8.17,9.33,9.87,9.96,9.57,8.13,7.50,9.14
1394,8.50,9.35,10.00,10.00,10.00,9.43,9.45,9.29
1395,8.75,9.70,10.00,10.00,10.00,9.87,9.45,9.71
1396,9.78,9.50,10.00,10.00,9.87,9.87,9.73,9.86
1397,8.06,9.08,10.00,10.00,10.00,8.83,9.05,8.29
1398,9.03,9.23,10.00,10.00,10.00,9.57,8.68,8.95
1399,8.83,9.60,10.00,10.00,10.00,9.22,9.27,9.1
1400,8.78,9.65,9.87,10.00,9.96,8.70,8.59,9.57
1401,7.75,8.90,9.91,10.00,10.00,9.35,8.18,9.14
1402,9.19,8.90,9.26,9.88,9.70,8.43,8.59,9.0
1403,8.94,9.70,9.70,9.83,9.61,8.22,7.23,7.95
1404,8.11,7.98,8.70,9.75,9.26,8.22,8.00,8.57
1405,6.69,7.78,9.87,9.79,9.04,6.87,7.55,7.86
1406,8.67,9.70,10.00,10.00,10.00,8.87,8.64,0.0
1407,8.83,9.60,9.70,9.25,8.83,7.43,6.91,8.24
1408,7.56,8.15,9.04,9.13,8.04,7.09,6.82,7.57
1409,6.67,7.33,8.96,8.67,7.91,5.87,7.23,7.76
1410,7.22,8.55,8.74,9.54,9.39,8.39,8.09,9.29
1411,5.64,7.05,8.87,9.38,8.30,6.39,5.82,7.05
1412,8.72,9.60,10.00,10.00,9.61,9.22,9.05,9.71
1413,6.17,7.18,8.87,9.17,8.57,7.22,7.36,8.0
1415,7.56,8.50,8.57,9.71,9.61,9.43,9.27,9.24
1416,8.11,9.70,9.57,9.79,9.65,8.61,8.50,8.57
1419,6.33,7.75,8.70,9.17,8.74,7.35,7.14,8.19
1420,8.17,8.15,9.17,9.21,8.70,7.17,7.50,8.33
1421,6.75,8.35,9.52,9.50,8.83,8.00,7.41,8.24
1422,6.86,6.78,7.43,7.29,7.83,5.65,6.00,7.81
1423,8.28,7.90,9.70,9.83,9.17,9.39,7.91,8.48
1425,6.26,5.72,8.52,8.50,8.04,7.14,6.23,6.8100000000000005
1426,8.00,9.60,8.83,9.00,8.22,8.70,8.50,9.0
1427,7.94,9.75,8.17,8.50,8.22,8.04,8.05,8.67
1428,6.22,8.10,9.70,9.17,8.83,8.30,8.09,8.43
1429,8.94,9.40,8.65,9.17,8.04,8.00,7.55,8.95
1430,8.17,9.90,9.70,9.33,9.43,8.74,8.36,8.62
1431,7.94,9.55,9.61,9.58,9.30,8.57,8.14,8.38
1432,8.33,9.65,10.00,10.00,9.61,9.87,8.45,9.29
1433,8.44,9.45,7.26,8.38,8.39,8.57,8.55,9.0
1434,7.44,9.05,9.87,10.00,9.39,8.04,6.18,7.29
1437,8.17,9.15,9.52,9.75,9.17,8.48,8.23,8.29
1438,6.44,8.10,8.83,9.79,9.48,8.04,7.50,8.24
1439,8.28,9.90,9.48,9.88,9.70,8.83,8.59,8.0
1440,8.06,6.73,8.96,8.21,8.30,6.30,5.77,7.19
1441,7.39,9.40,10.00,9.63,9.48,9.22,8.05,8.24
1442,6.78,9.00,8.96,9.29,8.43,8.57,7.68,8.33
1443,7.58,8.38,9.61,9.21,9.26,8.22,7.41,7.71
1444,7.44,8.75,7.83,8.00,7.83,7.87,7.64,8.33
1445,7.11,8.50,9.17,9.75,9.00,7.78,7.23,8.62
1446,5.81,6.63,8.78,9.50,9.17,7.52,7.27,8.43
1447,7.86,7.45,7.91,9.46,9.04,7.91,6.77,7.95
1448,7.94,9.40,9.48,9.88,8.70,8.43,7.68,8.57
1449,7.33,9.25,8.17,9.00,8.04,7.39,6.27,7.43
1450,9.39,9.50,8.61,8.04,7.30,8.04,7.00,7.57
1451,7.17,9.20,9.61,9.50,9.26,8.30,7.95,8.67
1452,8.06,8.55,9.48,8.75,7.78,8.43,7.95,8.71
1453,8.17,9.50,9.04,9.54,8.61,7.65,7.59,7.86
1454,6.44,7.13,9.13,8.75,8.04,5.48,6.05,6.9
1456,7.28,7.93,8.70,8.79,9.00,7.78,7.18,8.43
1457,7.67,8.70,9.43,9.00,8.17,7.87,7.55,8.1
1458,7.94,8.00,7.96,8.96,8.91,6.61,7.14,7.9
1460,6.11,8.48,9.26,9.58,9.87,7.52,7.00,7.0
1461,7.33,8.90,9.26,8.83,9.57,7.70,7.41,7.81
1462,8.78,9.25,9.74,10.00,10.00,9.74,9.05,0.0
1463,6.83,7.98,9.57,9.54,9.91,9.22,8.86,9.57
1465,6.44,6.85,7.70,7.67,8.48,6.78,6.95,7.95
1466,8.78,9.20,9.87,9.54,9.78,8.09,8.45,8.86
1467,5.41,5.87,8.22,8.12,9.13,6.09,6.59,8.19
1468,6.67,8.30,9.78,9.67,9.57,8.70,9.09,8.38
1469,6.81,6.85,8.22,7.54,8.17,5.52,6.00,7.14
1470,7.11,7.80,9.57,9.04,8.96,6.96,6.41,7.0
1471,8.22,9.35,9.65,9.63,9.74,8.04,8.14,9.0
1472,6.61,8.25,9.78,9.75,9.78,7.52,7.55,8.14
1473,7.28,7.38,8.78,9.58,9.48,7.74,8.05,9.29
1474,6.26,6.20,8.83,8.54,8.91,6.26,6.00,8.1
1475,5.97,7.13,8.65,8.88,9.48,6.65,6.41,7.9
1476,6.56,7.98,9.04,8.88,8.87,7.78,7.41,8.43
1477,9.39,9.50,9.48,9.04,9.39,8.13,7.95,8.71
1478,7.97,6.78,8.30,8.71,8.96,6.65,6.64,6.9
